"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE"
138,MD,MINISTÉRIO DA DEFESA,90,CFIAE,CAIXA DE FINANCIAMENTO IMOBILIÁRIO DA AERONÁUTICA,90,CFIAE,Caixa de Financiamento Imobiliário da Aeronáutica,SIORG
138,MD,MINISTÉRIO DA DEFESA,138,MD,MINISTÉRIO DA DEFESA,138,MD,Ministério da Defesa,SIORG
138,MD,MINISTÉRIO DA DEFESA,165,MB,COMANDO DA MARINHA,165,MB,Comando da Marinha,SIORG
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,92,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,22201,INCRA,INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA,SIAFI
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,49000,MDA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,SIAFI
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,92,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,42201,INCRA,INSTITUTO NAC. DE COLONIZ E REF AGRARIA,SIAPE
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,13100,MDA,MIN DO DESENV AGR E AGRIC FAMILIAR,SIAPE
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,192,MDA,Ministério do Desenvolvimento Agrário e Agricultura Familiar,SIORG
192,MDA,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,92,INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,92,INCRA,Instituto Nacional de Colonização e Reforma Agrária,SIORG
203,MDHC,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,203,MDHC,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,81100,MDHC,MIN DOS DIR HUM E DA CIDADANIA,SIAPE
203,MDHC,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,203,MDHC,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,203,MDHC,Ministério dos Direitos Humanos e da Cidadania,SIORG
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",31,INPI,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,30204,INPI,INSTITUTO NAC. DA PROPRIEDADE INDUSTRIAL,SIAFI
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",19,SUFRAMA,SUPERINTENDÊNCIA DA ZONA FRANCA DE MANAUS,20603,SUFRAMA,SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS,SIAFI
201,MDIC,"MINISTÉRIO DO DESENVOLVIMENTO, INDÚSTRIA, COMÉRCIO E SERVIÇOS",9,INMETRO,"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",30203,INMETRO,INSTIT.NAC. DE METROLOG. QUALID. E TECNOLOGIA,SIAFI
